Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,CP_Elec_6.3x5.4,117.75,-56.0,-90.0,top
C3,10uF,C_0805_2012Metric,127.0,-83.0,0.0,top
C4,100nF,C_0805_2012Metric,123.25,-83.0,180.0,top
C5,10nF,C_0805_2012Metric,119.55,-83.0,180.0,top
C6,47uF,CP_Elec_6.3x5.4,133.75,-57.75,0.0,top
D1,LED,LED_0805_2012Metric,136.5375,-62.75,180.0,top
R1,4.7k,R_0805_2012Metric,130.75,-72.5,0.0,top
R2,4.7k,R_0805_2012Metric,131.75,-66.0,-90.0,top
R3,470,R_0805_2012Metric,132.8375,-62.75,0.0,top
R4,4.7k,R_0805_2012Metric,115.25,-62.3375,-90.0,top
R5,4.7k,R_0805_2012Metric,109.5,-80.1625,90.0,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,125.0,-55.75,-90.0,top
U3,ADG419BR,SOIC-8_3.9x4.9mm_P1.27mm,113.0,-68.25,90.0,top
